id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
312,2236,7165,99882,348491,349089,0,1,0,0,0,1,18171-4490-84107,2770
313,2593,576,99973,348506,348901,0,1,0,0,0,1,21888-2843,1441
314,6665,6408,100208,348687,349283,0,1,0,0,0,1,74106-6830-68967,2871
315,4310,2159,101057,352360,352955,0,1,0,0,0,1,41051-52752-17207,4283
316,2057,447,101332,353295,353696,0,1,0,0,0,1,16103-2170,2162
317,1427,1284,101664,354601,355200,0,1,0,0,0,1,9140-51917-48602,2513
318,5070,3577,98038,356190,356789,0,1,0,0,0,1,50097-42806-31409,3461
319,2422,1247,99341,356451,357248,0,1,0,0,0,1,50955-10392-10829-9442,3993
320,2598,4188,100664,356894,357692,0,1,0,0,0,1,29223-75031-75026-38944,3876
321,4966,1767,98979,357060,357854,0,1,0,0,0,1,49509-58440-27078-12884,5644
322,5568,5236,100109,357333,357935,0,1,0,0,0,1,54835-44999-51576,6117
323,4935,877,100546,357474,358270,0,1,0,0,0,1,49445-84095-84098-4916,4049
324,7443,2155,102168,357581,357983,0,1,0,0,0,1,89660-48466,1757
325,6006,3536,99575,358743,359345,0,1,0,0,0,1,60918-37788-30781,4511
326,3814,2166,100613,359384,360180,0,1,0,0,0,1,34019-78133-78122-17316,7758
327,6015,1324,99029,359851,360446,0,1,0,0,0,1,61112-18173-17138,2342
328,4257,133,100462,360648,361244,0,1,0,0,0,1,39810-32407-352,3562
329,4347,789,100100,361086,361689,0,1,0,0,0,1,41360-52681-23930,5992
330,4022,6830,98683,361690,362086,0,1,0,0,0,1,37125-77401,1938
331,4887,1495,100159,362514,363306,0,1,0,0,0,1,49228-33114-13442-17221,6587
